trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.998}",20,0,-119.57773787090534,"{0: 12, 1: 3, 2: 2, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.996}",25,0,-175.94305818356617,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
3,False,"{'a': 0.5, 'e': 0.994}",25,0,-140.9748424517513,"{0: 14, 1: 1, 2: 7, 3: 2, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.992}",20,0,-139.9850594793937,"{0: 9, 1: 6, 2: 2, 3: 1, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.99}",25,12,-20.41585580284699,"{0: 9, 1: 1, 2: 3, 3: 0, 4: 0}",1
6,False,"{'a': 0.5, 'e': 0.988}",20,0,-39.47787931475578,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.986}",20,0,-90.62464051931406,"{0: 12, 1: 3, 2: 3, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.984}",25,0,-123.82100111497824,"{0: 13, 1: 3, 2: 5, 3: 4, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.982}",30,0,-195.22966960864895,"{0: 15, 1: 4, 2: 7, 3: 2, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.98}",25,0,-203.09002146397995,"{0: 13, 1: 2, 2: 5, 3: 2, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.978}",20,0,-92.88047230141828,"{0: 11, 1: 3, 2: 5, 3: 0, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.976}",20,0,-132.51526949749584,"{0: 11, 1: 2, 2: 4, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.974}",25,0,-126.02514625486702,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.972}",25,0,-96.46067724448338,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
