trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",30,0,-133.25449090838478,"{0: 20, 1: 0, 2: 8, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",25,0,-31.758406898899217,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 0.985}",30,0,-182.557302264079,"{0: 20, 1: 2, 2: 3, 3: 2, 4: 3}",0
4,False,"{'a': 0.5, 'e': 0.98}",20,0,-64.44321212911781,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.975}",25,0,-197.9051961075815,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-104.77838212684398,"{0: 11, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.965}",35,0,-206.02746207313248,"{0: 19, 1: 2, 2: 8, 3: 5, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.96}",20,0,-90.07431710936635,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-44.13974905747473,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.95}",20,2,-52.18995629536991,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
11,False,"{'a': 0.5, 'e': 0.945}",25,0,-176.72673448489982,"{0: 13, 1: 0, 2: 9, 3: 1, 4: 2}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-76.76254263899584,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",1
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",20,0,-137.4287186526781,"{0: 10, 1: 2, 2: 4, 3: 3, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",25,0,-73.59583900226454,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",20,0,-46.86729778990653,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",25,0,-61.75101466176098,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",30,0,-266.6076721708411,"{0: 13, 1: 5, 2: 6, 3: 2, 4: 4}",0
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",25,0,-162.6455101586995,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",20,0,-97.63998017463035,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,0,-14.780598295722728,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.8949999999999999}",20,0,-97.6441065767664,"{0: 13, 1: 1, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.8899999999999999}",20,0,-18.512911795680306,"{0: 16, 1: 3, 2: 0, 3: 1, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.8849999999999999}",25,0,-95.14335512118922,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.8799999999999999}",30,0,-172.38487220241802,"{0: 18, 1: 4, 2: 4, 3: 1, 4: 3}",0
25,False,"{'a': 0.5, 'e': 0.8749999999999999}",35,0,-143.60570264746679,"{0: 22, 1: 3, 2: 7, 3: 2, 4: 1}",0
26,False,"{'a': 0.5, 'e': 0.8699999999999999}",30,0,-148.17130891471655,"{0: 18, 1: 2, 2: 6, 3: 3, 4: 1}",0
27,False,"{'a': 0.5, 'e': 0.8649999999999999}",20,0,-95.76666906105918,"{0: 13, 1: 0, 2: 5, 3: 1, 4: 1}",0
28,False,"{'a': 0.5, 'e': 0.8599999999999999}",25,0,-45.572465361773645,"{0: 17, 1: 3, 2: 5, 3: 0, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.8549999999999999}",20,0,-35.45458828126203,"{0: 15, 1: 1, 2: 3, 3: 1, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-73.60187251516182,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.8449999999999999}",20,0,-214.6967227142675,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
32,False,"{'a': 0.5, 'e': 0.8399999999999999}",30,0,-190.45566298200288,"{0: 16, 1: 2, 2: 8, 3: 2, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.8349999999999999}",20,0,-173.843238925247,"{0: 13, 1: 0, 2: 3, 3: 0, 4: 4}",0
34,False,"{'a': 0.5, 'e': 0.8299999999999998}",30,0,-166.19042736037068,"{0: 22, 1: 1, 2: 3, 3: 0, 4: 4}",0
35,False,"{'a': 0.5, 'e': 0.8249999999999998}",20,0,-22.35129269934413,"{0: 16, 1: 2, 2: 1, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.8199999999999998}",20,0,-90.72118600682072,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
