trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.995}",20,0,-112.6962787944895,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.99}",20,0,-126.24798613740744,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.985}",25,0,-73.97422532495827,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.98}",25,0,-80.89587805687027,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.975}",20,0,-110.5269301492897,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.97}",20,0,-224.83944028476233,"{0: 10, 1: 1, 2: 3, 3: 2, 4: 4}",0
7,False,"{'a': 0.5, 'e': 0.965}",20,0,-48.971284246979955,"{0: 15, 1: 0, 2: 3, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.96}",35,0,-142.31969908008543,"{0: 19, 1: 7, 2: 7, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.955}",20,0,-103.04779339015737,"{0: 11, 1: 2, 2: 5, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 0.95}",25,0,-221.78140017662352,"{0: 13, 1: 2, 2: 6, 3: 0, 4: 4}",0
11,False,"{'a': 0.5, 'e': 0.945}",30,0,-128.22307204541718,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.94}",20,0,-88.63461628861354,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9349999999999999}",25,0,-201.84591371667315,"{0: 14, 1: 2, 2: 5, 3: 0, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.9299999999999999}",30,0,-31.39275394400226,"{0: 23, 1: 2, 2: 5, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.9249999999999999}",35,0,-184.259844951304,"{0: 18, 1: 4, 2: 10, 3: 2, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.9199999999999999}",20,0,-76.27622719218496,"{0: 15, 1: 3, 2: 0, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.9149999999999999}",25,9,-49.86583462270464,"{0: 12, 1: 1, 2: 2, 3: 0, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.9099999999999999}",20,0,-93.07872661245744,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.9049999999999999}",35,0,-244.64532327954936,"{0: 22, 1: 2, 2: 6, 3: 0, 4: 5}",0
20,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-46.20720378368841,"{0: 20, 1: 2, 2: 2, 3: 0, 4: 1}",0
1,True,"{'a': 0.5, 'e': 0}",30,0,-216.98914666885088,"{0: 16, 1: 0, 2: 10, 3: 1, 4: 3}",0
2,True,"{'a': 0.5, 'e': 0}",25,0,-108.17514326833012,"{0: 14, 1: 3, 2: 7, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': 0}",25,0,-67.96750179789171,"{0: 17, 1: 1, 2: 6, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 0}",20,0,-136.8609783628111,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': 0}",25,0,-74.47201903056923,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
6,True,"{'a': 0.5, 'e': 0}",30,19,-91.41847266737663,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 2}",1
7,True,"{'a': 0.5, 'e': 0}",20,0,-122.8581350667225,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
8,True,"{'a': 0.5, 'e': 0}",25,0,-170.6791142254714,"{0: 10, 1: 4, 2: 8, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 0}",25,0,-127.12168609869728,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': 0}",30,0,-246.5667881278791,"{0: 15, 1: 3, 2: 7, 3: 1, 4: 4}",0
